start_sec,end_sec,dt_sec,angle_command,speed_command,lidar_dx_m,lidar_dy_m,lidar_yaw_rad,lidar_arc_m,gyro_integral_raw_rad,icp_rmse_m,icp_inliers,icp_inlier_ratio,icp_seed_gain_span,accepted,rejection_reason
1784878372.6547112,1784878373.1711571,0.5164458751678467,-31.799999237060547,3.0,0.14945503418460016,0.002557826660196487,0.10910144798169685,0.14955108121475794,-0.09045387325622373,0.025399273583099045,67,0.8072289156626506,0.0012230116769314792,True,
1784878373.1711571,1784878373.6882231,0.5170660018920898,-31.799999237060547,3.0,0.1542987923821953,-0.006218422628202339,0.12561535916614935,0.1545256219406397,-0.10233468781391054,0.030185451358881926,61,0.7530864197530864,0.0005134104858350169,True,
1784878373.6882231,1784878374.203861,0.5156378746032715,-31.799999237060547,3.0,0.13279921915723353,-0.01435451499679185,0.12843740659005998,0.13366462348254457,-0.09959804166874019,0.02469541461116716,61,0.7349397590361446,2.5951463200613034e-15,True,
1784878374.203861,1784878374.719666,0.5158050060272217,-42.0,3.0,0.16509984767536728,0.00665464902059737,0.18157710918053296,0.16546111735145205,-0.14713721262007043,0.027672517749778164,60,0.8108108108108109,0.0069632384400930974,True,
1784878374.719666,1784878375.2393072,0.5196411609649658,-42.0,3.0,0.1540386301117327,0.01591412402610698,0.16822233330419445,0.15504125932948845,-0.1524622978112192,0.01969446686080534,51,0.7611940298507462,9.992007221626409e-16,False,few_inliers
1784878375.2393072,1784878375.7587092,0.519402027130127,-42.0,3.0,0.1612793926580029,0.006512000317975608,0.17351248687351672,0.161613465355531,-0.1590151961664488,0.021342581501970086,52,0.7647058823529411,1.3461454173580023e-15,False,few_inliers
1784878375.7587092,1784878376.2782621,0.5195529460906982,-42.0,3.0,0.0,0.0,0.0,0.0,-0.1589882001697683,,0,0.0,inf,False,few_scan_points
1784878376.2782621,1784878376.798182,0.5199198722839355,-42.0,3.0,0.0,0.0,0.0,0.0,-0.1567178732713268,,0,0.0,inf,False,few_scan_points
1784878376.798182,1784878377.317418,0.5192360877990723,-42.0,3.0,0.0,0.0,0.0,0.0,-0.1618362364412759,,0,0.0,inf,False,few_scan_points
1784878377.317418,1784878377.835592,0.5181739330291748,-42.0,3.0,0.0,0.0,0.0,0.0,-0.15388971952185884,,0,0.0,inf,False,few_scan_points
1784878377.835592,1784878378.354496,0.5189039707183838,-39.599998474121094,3.0,0.0,0.0,0.0,0.0,-0.15053753852844234,,0,0.0,inf,False,few_scan_points
1784878378.354496,1784878378.874557,0.5200610160827637,-36.29999923706055,3.0,0.0,0.0,0.0,0.0,-0.11862096269043496,,0,0.0,inf,False,few_scan_points
1784878378.874557,1784878379.3944552,0.5198981761932373,-11.666666984558105,3.0,0.0,0.0,0.0,0.0,0.009139657833512544,,0,0.0,inf,False,few_scan_points
1784878379.3944552,1784878379.912991,0.518535852432251,12.083333015441895,3.0,0.0,0.0,0.0,0.0,0.07851432566852642,,0,0.0,inf,False,few_scan_points
