index,time_sec,white_line_count,white_pair,yellow,white_components,yellow_components,white_spacing_m,yellow_center_offset_m,failure_score
500,31.935007,2,1,1,6,1,0.5386718749999999,-0.20097656249999998,5.000
501,31.979081,2,1,1,4,1,0.489453125,-0.22421875,3.500
502,32.061775,2,1,1,3,1,0.46894531249999993,-0.21669921874999998,3.000
503,32.113531,2,1,1,2,1,0.462109375,-0.216015625,3.000
504,32.146045,2,1,1,3,1,0.522265625,-0.20234375,3.500
505,32.181410,2,1,1,3,1,0.46894531249999993,-0.21464843749999998,3.000
506,32.265940,2,1,1,2,1,0.46757812499999996,-0.20644531249999998,3.000
507,32.309739,2,1,1,3,1,0.46757812499999996,-0.21259765625,3.000
508,32.356176,1,0,0,1,0,,,7.000
509,32.384977,1,0,0,2,0,,,7.000
510,32.438560,1,0,0,2,0,,,7.000
511,32.476699,1,0,0,1,0,,,7.000
512,32.718496,1,0,1,2,1,,,4.000
513,32.747753,2,1,1,7,1,0.462109375,-0.2119140625,4.500
514,32.806961,2,1,1,4,1,0.46074218749999996,-0.20986328124999998,4.000
515,32.852489,1,0,1,4,1,,,4.500
516,32.897181,1,0,1,3,1,,,4.000
517,32.928790,1,0,1,3,1,,,4.500
518,33.059096,1,0,1,3,1,,,4.000
519,33.108133,1,0,1,2,1,,,4.000
520,33.272645,1,0,1,1,1,,,4.000
521,33.320994,1,0,1,1,1,,,4.000
522,33.358234,1,0,1,1,1,,,4.000
523,33.455873,1,0,1,1,1,,,4.000
524,33.505120,1,0,1,1,1,,,4.000
525,33.596223,1,0,1,1,1,,,4.000
526,33.631018,1,0,1,1,1,,,4.000
527,33.679443,1,0,1,1,1,,,4.000
528,33.727958,1,0,1,1,1,,,4.000
529,33.853008,1,0,1,2,1,,,4.000
530,33.899700,1,0,1,1,1,,,4.000
531,34.031875,1,0,1,1,1,,,4.000
532,34.079727,1,0,1,2,1,,,4.000
533,34.205561,1,0,1,1,1,,,4.000
534,34.249628,1,0,1,1,1,,,4.000
535,34.440453,1,0,1,1,1,,,4.000
536,34.488144,1,0,1,1,1,,,4.000
537,34.537263,1,0,1,1,1,,,4.000
538,34.582968,1,0,0,1,0,,,7.000
539,34.684237,0,0,0,0,0,,,9.000
540,34.740245,1,0,1,1,1,,,4.000
541,34.790027,1,0,1,2,1,,,4.000
542,34.928335,1,0,1,2,1,,,4.000
543,34.987488,1,0,1,2,1,,,4.000
544,35.167912,1,0,1,2,1,,,4.000
545,35.228903,1,0,1,2,1,,,4.000
546,35.305743,1,0,1,2,1,,,4.000
547,35.401782,1,0,1,2,1,,,4.000
548,35.445895,1,0,1,1,1,,,4.000
549,35.544708,2,1,1,2,1,0.5140625,0.2365234375,3.000
550,35.598486,2,1,1,2,1,0.5140625,0.23378906249999998,3.000
551,35.729050,1,0,1,1,1,,,4.000
552,35.765613,1,0,1,1,1,,,4.000
553,35.801813,1,0,1,1,1,,,4.000
554,35.894356,0,0,1,0,1,,,6.000
555,35.937751,0,0,1,0,1,,,6.000
556,36.074044,0,0,1,0,1,,,6.000
